Date,Hospital,Restaurant or PPE,Dollar Value
5/26/2020,Lyndon B Johnson Hospital,Dessert Gallery,80
5/26/2020,Aspire Hospital,Sak's Donuts,58
5/26/2020,Aspire Hospital,Zazza Pizza Cafe,67
5/23/2020,Houston Methodist ICU,Coco Crepes,103
5/23/2020,Lyndon B Johnson Hospital,Chilosos Taco House,61.86
5/23/2020,Davam Urgent Care,Sundale Donuts,53.97
5/22/2020,Houston Methodist ICU,Egghaus Gourmet,115
5/22/2020,Lyndon B Johnson Hospital,Pink's Pizza,81.43
5/21/2020,Davam Urgent Care,Mama Juanita's Mexican Restaurant,64.97
5/21/2020,Aspire Hospital,Black Walnut Cafe ( Woodland),58.29
5/21/2020,HCA Houston Conroe ER,Sak's Donuts,68.95
5/20/2020,Long Island Jewish Medical Center 7th floor COVID unit,Juice For Life - Bayside,172.81
5/20/2020,Lyndon B Johnson Hospital,Hugs & Donuts,70.16
5/20/2020,Houston Methodist ICU,Urban Eats,76.52
5/19/2020,Long Island Jewish Medical Center 7th floor COVID unit,Crawford's Coffee&Cafe - Great Neck,90.16
5/18/2020,Long Island Jewish Medical Center 8th floor COVID unit,Crawford's Coffee&Cafe - Great Neck,100.41
5/16/2020,Davam Urgent Care,Brooklyn Café,62.72
5/16/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",The Black Walnut Café (Woodland),136.92
5/16/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",Dos Tacos,64.12
5/15/2020,HCA Houston Conroe ER,Sak's Donuts,71.97
5/15/2020,Long Island Jewish Medical Center 8th floor COVID unit,Crawford's Coffee&Cafe - Great Neck,147.72
5/15/2020,Long Island Jewish Medical Center 7th floor COVID unit,Costa Nova Waffle,137.86
5/15/2020,Elmhurst Hospital,Overnight 20 N95 masks,96
5/15/2020,Houston Methodist ICU,Brasil,80.75
5/14/2020,Long Island Jewish Medical Center 7th floor COVID unit,22 Surgical caps,165.05
5/14/2020,Davam Urgent Care,Crave Cupcakes,71.33
5/14/2020,Lyndon B Johnson Hospital,Toasters Breakfast and Lunch Cafe,104.21
5/14/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",Chicago Pizza and Pasta,45.58
5/14/2020,CHI St Lukes the Woodlands,Brooklyn Cafe,101.93
5/14/2020,Long Island Jewish Medical Center 3rd floor COVID unit,Crawford's Coffee&Cafe - Great Neck,78.47
5/14/2020,DMC Sinai Grace Hospital Anesthesia dept,Tropical Smoothie Cafe- Royal Oak,94.36
5/14/2020,Health Arlington Memorial Emergency Department,Moonlight Cakes,89.64
5/12/2020,Houston Methodist Molecular Lab,Urban Eats,78.22
5/12/2020,Anaheim Regional Hospital ER,Carolina's Italian Restaurant,107.81
5/12/2020,Health Arlington Memorial Emergency Department,Mr.Jims Pizza,93.31
5/11/2020,Detroit Receving Hospital 4Q Surgical ICU,The Cracked Egg of Grosse Pointe,153.1
5/8/2020,Houston Methodist ICU,Bollo Woodfire Pizza,95.34
5/8/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",Mod's Pizza,78.03
5/8/2020,Ben Taub Hospital Anesthesia Department,Pepperoni's - Montrose,153.43
5/8/2020,Davam Urgent Care,The Black Walnut Café (Woodland),53.86
5/8/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",On The Boarder,128.58
5/8/2020,Long Island Jewish Medical Center 7th floor COVID unit,Hangry,82.5
5/8/2020,Health Arlington Memorial Emergency Department,BurgerFi,145.32
5/7/2020,Lyndon B Johnson Hospital,District 7 Pizzeria,115.32
5/7/2020,Ben Taub Hospital Anesthesia Department,Luce Ave Coffee Roasters,182.54
5/7/2020,Detroit Receving Hospital 4Q Surgical ICU,Paisano's Pizza,116.45
5/6/2020,University Hospital San Antonio,46th st. new york style pizzeria,128.56
5/6/2020,Methodist Specialty and Transplant Hospital - ER (San Antonio),Mama Margie's,90.46
5/5/2020,Houston Methodist Molecular Lab,Tacos A Go Go - Heights,125.07
5/5/2020,DMC Sinai Grace Hospital Anesthesia dept,Jet's Pizza,147.76
5/4/2020,Long Island Jewish Medical Center 7th floor COVID unit,VI Pizza,129.09
5/4/2020,Ben Taub Hospital Anesthesia Department,Burger-Chan,200
5/1/2020,"Memorial Herman In the Woodlands ( 25 ED, 25 ICU)",The Brooklyn Cafe,105.84
5/1/2020,Lyndon B Johnson Hospital,Burger-Chan,145.8
5/1/2020,Houston Methodist ICU,Burger-Chan,91.8
5/1/2020,Olive View-UCLA Medical Center,ZPizza,150.38
5/1/2020,Henry Ford West Bloomfield Hospital ICU,Cottage Inn Pizza,81.26
4/30/2020,"Progressive Care Unit at Baylor University Medic Center (Irving, TX) (Baylor, Scott, and White - Irving PCU)",Chicago Pizza Las Colinas,85.53
4/30/2020,Davam Urgent Care,Gringo's Mexican Kitchen,73.68
4/30/2020,Temple University Hospital ICU,Fila's Pizza,145.94
4/30/2020,DMC Sinai Grace Hospital Anesthesia dept,Nosh Pit Detroit,85.15
4/30/2020,Anaheim Regional Hospital ER,Tacqueria De Anda,116.92
4/30/2020,Henry Ford West Bloomfield Hospital ICU,Leo's Coney Island,123.39
4/30/2020,Henry Ford Allegiance Anethesia,Happy's Pizza,98.27
4/29/2020,Methodist Specialty and Transplant Hospital - ER (San Antonio),Duck Donuts,52.29
